qr_code,qr_image_base64,generated_time,is_printed,is_distributed,notes
QR_0001,iVBORw0KGgoAAAANSUhEUgAAASIAAAEiAQAAAAB1xeIbAAABiUlEQVR4nO2YS46DMBBEX4+RsnSkHCBHwTfL1eAocwO8jMSoZmGTZH6abAgkdC8sZD2JUlNG7jLxf/Vvd0DglFNOOeXU2imr1UBvZpbytJMW1bUJqpUkDWAnSUCQVJ4W1bUJKlePq8tmAJRjsLSuV6aa7xt9ApHne6NTf1F2GoIsPfCN26Um30cBGdTvQ9m5HbrWqv65qdr7vvzjA9YOB4APW1bXFqjS+6vH1R/PVo/Bkrq2Q1nKTVkgN6gDLF3Nv271z0pxvcZPT6Hc9NVF1erWqv65qanjUaIdgtRFiVYSrcY6dHnvZ6Gozo6SujhC9X3QTXnvZ6WyGeRd+QCWqHOtpYV1vTKFvhbEkfrjuZjffT8jdc0xpQEgN9Afz55jPoC65JiQGyzFs6kjeI75CGrKMc32oC7vZH6/n5n6nmOKfBipwcJl4F2r+teiLMWxLLTvuynRXF7XK1K/5JgDIu9LsuO+n5G6yRSAMI20Qyi3TZ9rZ6R+5Jh1GdHN/lrVO+WUU045dS/1CU/o5Vk/+G3WAAAAAElFTkSuQmCC,2025-07-14 20:41:11,0,0,
QR_0002,iVBORw0KGgoAAAANSUhEUgAAASIAAAEiAQAAAAB1xeIbAAABgUlEQVR4nO2aQW6DMBBF3xSkLOEGPYq5WdWbwVFyA7ys5Oh3YTtNmkW7IRAYLxA2T/LXeMYejzDxd5ve/gGBU0455ZRTW6estDa/Qawjw6q6DkEFSdIMGjsJaCRJuqeer+sQVKw+Hs4tNgBm1q6v60iUDd2XPXVGp35aPD2m/FvQtT+qbiudgAhMPSYi3K7AVtXvgprMzKwHwtzIBi5WMp51de2ayn5/t8tcrITBMjM6dU/ZANgQi6Prs4aBDavq2jdV/H6yJglS7loQQGzTarqOQPFzhdJIUy5Ymm+/atyq+temiu2DEpJSvtdqzB+S235J6sbvCTO5ugA0eQFyscFtvwh1n+eImlVeDLq5dreq/rWpW7+HRuXRpRwGvucsSF33e0maG0lKEJQoC+C2X5yqdUyzHjTGkzTmMFhX15EojZRipn2cvaawKNX+HgjzBRF7mN6v58BW1e+Dqll9riFP/VZ07Zl6yHPC3NT8vquHsJ+1i1Dm/0Y55ZRTTh2C+gblAM0eKIp6fgAAAABJRU5ErkJggg==,2025-07-14 20:41:11,0,0,
QR_0003,iVBORw0KGgoAAAANSUhEUgAAASIAAAEiAQAAAAB1xeIbAAABdklEQVR4nO2aS26DQBBEXwUkL/GN4Ga5GhzFN2CWlrAqi4H4FylZBIOhZzGC4UmUWq2engKZ30f38QcIggoqqKCCWjulcZSo4SI1aVppFtW1C6q2bfdAdwSgsG37nnq9rl1Qacxxt9MkqVxe15ap8uFe9elx6Z/fGNQ0HgNtGJ6Dv1b126Aq2y3keq8GsD0sr2vL1JjjnQAoUH06WHDRsrr2QOXY3xoL1VlQ3VsNa1W/BUpNkugkuU0lkErojpfo7+ekyH28+8Juq+Gmytv99LRdq/r3prg9QlHkDXeMOIyHroj9jNQ17/XZAyTppvdZufp3paaaM3kKbilM7SFfRc2ZkbqL/VR9srNT90TNmZN6rPfUHnLEIfL+JdTVxxw33IvsPnrMl1BXHzOVSDr4J+r1urZMPfmYVGeZdJSphtJL6dolVZ8OVgNAOsS3kzmpca+tvw+3eXOtxin6nBmpJx8TimwqCMohas6MlOLfqKCCCiqoXVBf0lT0H5iPSsEAAAAASUVORK5CYII=,2025-07-14 20:41:11,0,0,
QR_0004,iVBORw0KGgoAAAANSUhEUgAAASIAAAEiAQAAAAB1xeIbAAABiElEQVR4nO3aQW6DMBCF4X8KUpdGygFyFOdmVW+Gj9Ib4GUkR68LOzSJFLUbAsVmF/gknsjYGUYx8fsR3v6AoKmmmmqqqa0rK0ePmfVAvJ45rZqrCuUlSRNISgCdJEn36vW5qlDxWuPhWu1lBayca8+qf/hs0CVb8o5NPVV+evUdq1XXuncCIoA7m4hw+9K11fS7UMHMzAaA+C47ccltztq5dq1y3d8NFi5WlsEyd2xqPnIr6SWVrd4lNALgygWNW03/v1Wp+2AgEIRTj3kBxD6tlqsGlZ+9+WkA4iGZnwZEHPJ5rZWrHqXPYwLc2fJOEwbAK92r1+fat5rr/gLEg4x4yO9WCgbmx3Vy1aDmPqcTuAThWKrdcBO2Vq4aFLcjMzrx8y34qVxtfc4y6qbHlKZOeY6Zt3qXaD3mC1Scp5cDaIzv0piXwbq5alIaATu5s9nHV5spLKoeZ8gQ+9Lfh+P8O7DV9PtQTiqTBLrS328i157Vkz6HThrbPGdZZe2/UU011VRTVahv32WytTR8HkkAAAAASUVORK5CYII=,2025-07-14 20:41:11,0,0,
QR_0005,iVBORw0KGgoAAAANSUhEUgAAASIAAAEiAQAAAAB1xeIbAAABfklEQVR4nO2ZzW2EMBCFvwlIHE0HWwq0lpLSAZRCAZHgDno5GCeb3SjJhf/xydif5CczjMcPE3+39uUfEDjllFNOObV3yuaWx0GrhzRSb6rrElQlSeqBtgQ1ZJIkfafW13UJaphj3OohJ/Y+P4P9qz8mlT+NhB4xLLeiU79SVq+94iWpFPdBMEf7lIsB7i9de1V/Cqo1M7MSqLpCVjPFMmdrXaem7MFTMEL/BLmnsCCVCvocqTOLZY/XOQtTxDpePagJEoQxTfRpttmr+mNTae/jPSqT1Gei6kHS6Hu/JHUX9xDGuONAJjV43K9BtWUmqq7Q3EsvYGtdp6bm47QSCEYM8pjwjfCeqqC9qj8D9eVjqmEyvZaTqdle17mpmNGTj5mlnsZY58RHz/eLUsnHpDUz2hJobyNz8O9d/TGpJx+zeisxKGRVV/hZuyrV3iSq3vP98tSjjymY8phzNtV1BYr7X4NkgqBY36sJfq9dlHr0MX9s7mM65ZRTTh2e+gBfbtEO8WSJjgAAAABJRU5ErkJggg==,2025-07-14 20:41:11,0,0,
QR_0006,iVBORw0KGgoAAAANSUhEUgAAASIAAAEiAQAAAAB1xeIbAAABcklEQVR4nO2ZTW7DIBCF3xSkLInUA+Qo5Gq9WThKDhAJlpWIXheA7SaR2g3+iWcWloU/idEYP8YPIf6O8PEPCFBKKaWUUmrtlNSwAHAXILWR86J57YLyJMkIyLkMGJIkf1Pz57ULKg1rPB1KxdtnsGxeu6LCcVz888yoVA1e5p5xv1STFUcACQDcTYgETH+61pr9tilMt1QYwkdD+NhGPEle1pr9til58BQELj5B6il0pOQMAEitvw9igSAiC+f13lTRHDIawjOjyo1jFR7VnH5U1ftSYphyBx8Bkrm+Ga19F6rVPg67rssAYDg+1dr3oYaKV0+BZKu9ak5nqul9i9pjMgNwqjldqcf+nheXMblo7ftR072W0ZQNt7Y9UfV+Fmr0MXEXhNO38OuUl8/rnSn7NOJuVgAL8deD+vezUv5qURrNcLzruVVP6oWPmW09QEmfTXTWmv22qScfs9gJ1D6nP/XoY74M9TGVUkoppTZP/QDwagCyfrCQLAAAAABJRU5ErkJggg==,2025-07-14 20:41:11,0,0,
QR_0007,iVBORw0KGgoAAAANSUhEUgAAASIAAAEiAQAAAAB1xeIbAAABiUlEQVR4nO2aTW7DIBCF36uRsjQ3yFHgZlWP1BuYo+QAkcyykq3XBZD0Z9FuHBzDLBDGn8QTHoZhZAp/W3j5BwR0qlOd6lSn9k4xmwFpAfpYRnxVXU1QTpI0A9K8UhMGSZK+U4/X1QQVbz4eTRohaerraomix/A77ayvqw1qXED/0BlbpUpYGQUgAgj2aoQIfPX+vao/BBVIkhaAu5xEjzWlObV1HZpKfv/Fx4MF8zaoqasdih45q4ebAb2VbUBfVdexqez3wV6NwnkxCBagEwBEs1TT1QKFdIfSDMDNgyQtSI/3t9Ne1T83hXx9HXOTFxu3r9DXfmNKE1ZqigYp5nisRKABfVVdx6ZKzCmWdwCA1HPd7zej0llb8vihHK7j1cC9sySfe1X/3FSO97mOmaM8nBYA44Lu9w+gSh2TtICmeEoHbnVdLVGaogH9+EG+XnpNYVPK/Bxws4UQLRDOt8LCXtUfgxolTak7CMHuRdeRqXK3Sjbo3mjqOea2FPu/UZ3qVKc61QT1Cbfb0paK0tlTAAAAAElFTkSuQmCC,2025-07-14 20:41:11,0,0,
QR_0008,iVBORw0KGgoAAAANSUhEUgAAASIAAAEiAQAAAAB1xeIbAAABgElEQVR4nO2YQY6DMAxFnydIXVKpB5ijJDebq8FR5gZkWYmRZ+GkraaqphtKCvYiQHhSvozjGIvyv40fT0DglFNOOeVU65QU62A8gqRcZ9KqurZNdXaJA0A+ISAAYQbKfbvqt0HlEuM69Gqlj22DtXVtmeruZnI3K3m5FZ16REnqZyS9cMX9UjXuewUy6Jg6S/W3P12tqn9vqvh+tEM1IHE6AfzIurr2QJnvrzGu4+dZyjZYU9d+KEm5swEAHQBJ1+BvW/27Uqiqaqkse602lWqzvG1V/XtT5nviFFQHQAeCElWVqDNE9/1iVPE9/Yw524J/qhvC4/4FVFBGOZjbJdljh6S1dW2Yug3vkn1qYyFOweN+SarmHLNQj1nCJQ+57xemYq1uAJDUn6V8gHV17YKqfUyRI+iQDype37+Yqqn+8tiIrj1Q8jWVZibx+6CSGtG1Req+jylhVvLROju6lq49UH/rHBvi5HXO8tRdH7MMM3oz36p6p5xyyimnnqV+Aal15hdEB3eQAAAAAElFTkSuQmCC,2025-07-14 20:41:11,0,0,
QR_0009,iVBORw0KGgoAAAANSUhEUgAAASIAAAEiAQAAAAB1xeIbAAABfElEQVR4nO2azW2EMBCFvwlIOUIHKQU6SK3pAErZDvAxEquXg220y0pJLvyPDwjjT/KTGY8fI0z83fq3f0DglFNOOeXU3ilLrcSsBgj5SbuprktQjSRpAOlWAhSSJD1T6+u6BBWmGOce78ys3F7Xmaly1jeqsRRhuRmd+oUqZO26M16UynFfCQhA82WIAI8fXXtVfwqqN7NkcWLc36PN2VrXqakY90+FhbulbbDMjE5NLVrJRhLNAFCNqAOgSgPq9qr+2FRaeyoJqpH4ApLdL3ztl6RyzgnlKEKJYCxFqAEwbaXrQlRfxywv+rpIl0bj5rpOTcWck+sHxcNdHPacswolacTa2MnbYAe6Tkvlsza2Yn7qxn3gcb8I9eAxpaGIxcyU6qvRc84aVK5jWguoC+9SNyX93as/JjWvY4oA1nTfRnPLJYXdqj82NV97+s/s7/uP6RzYq/pjU691zAHRt1vrugL14nOaoUhOv/N6zrKU+b9RTjnllFOXoH4AYxrUvCVd3T0AAAAASUVORK5CYII=,2025-07-14 20:41:11,0,0,
QR_0010,iVBORw0KGgoAAAANSUhEUgAAASIAAAEiAQAAAAB1xeIbAAABiElEQVR4nO3aQW6jMBjF8f8rSLM00hygRzE3mCNVvRkcpTfAy0pUbxbgNElH024SEzC7JD+JJ/vDdj4h8/01Pv0AQVVVVVVVVVtXWq8WqQP1KX/TF811CBVt2xPYb5IHGtu2L9X9cx1CpVzj4/M64pLa8rn2rNqrzyLc+I5V/Vepv/cdD6ly3QcDCSAJk+D8T9dW0+9CjZKkDohTY/V8LMec0rl2rZa6P6vxsUPrY1Ay13GUetZTPdEzfs2Pgfqiufatct2nDghzyyhQNEBq52K5jqCWsRc0s5YJ4DQVIJfKdSQV3gXBtqfGjB0QPV+r++fas2JpHXz2FAYaA409wNpsGLaa/rHVxTknGMXpN8CHIEyoVK4jKM5bZrnkIcwQp/XXWve3UZdrzvlKs05AHfubq9zH1ItnPKT2tPKXzbVndd3HNKlDcXgX8S23FDab/rHV9dgz/pnb5Xw/Pp/2ga2mf2z1jz7mLzP2pXMdQX095wTn833Im3Dda2+iVN+Nqqqqqqo6hPoLmwGyPIxZMLsAAAAASUVORK5CYII=,2025-07-14 20:41:11,0,0,
